Nom image;V3;V2;V1;delta V2-V1;delta V3-V1;delta V3-V2;;;moyenne In;moyenne Sc;;V4 ;V5 ;V6 filtre avant top;V7 filtre apres top;;;V8;V309
In_105 ;61,39;15,03;50,69;-35,66;10,7;46,36;;;;;;62,1;61,39;66,06;65,62;;;61,39;61,39
In_106 ;72,71;52,1;68,03;-15,93;4,68;20,61;;;;;;0;72,71;0;71,39;;;72,71;72,71
In_107 ;42,36;46,47;15,17;31,3;27,19;-4,11;;;;;;0;42,36;62,01;38,72;;;42,36;42,36
In_108 ;28,22;50,83;28,39;22,44;-0,17;-22,61;;;;;;32,24;28,22;0;29,66;;;28,22;28,22
In_109 ;62,26;32,63;47,48;-14,85;14,78;29,63;;;;;;45,9;62,26;0;46,52;;;62,26;62,26
In_110 ;52,46;66,44;26;40,44;26,46;-13,98;;;;;;0;52,46;0;0;;;52,46;52,46
In_111 ;11,04;63,66;51,97;11,69;-40,93;-52,62;;;;;;11,94;11,04;65,75;11,04;;;11,04;11,04
In_112 ;59,07;0;38,04;-38,04;21,03;59,07;;;;;;43,63;59,07;0;54,5;;;59,07;59,07
In_113 ;67,77;52,48;54,24;-1,76;13,53;15,29;;;;;;32,3;67,77;52,81;31,54;;;67,77;67,77
In_114 ;76,06;69,31;55,94;13,37;20,12;6,75;;;;;;77,44;76,06;75,56;77,12;;;76,06;76,06
In_115 ;75,09;52,13;53,94;-1,81;21,15;22,96;;;;;;44,57;75,09;75,13;67,63;;;75,09;75,09
In_116 ;71,8;73,99;50,47;23,52;21,33;-2,19;;;;;;51,67;71,8;69,21;55,84;;;71,8;71,8
In_117 ;81,66;71,61;58,28;13,33;23,38;10,05;;;;;;71,99;81,66;65,33;80,52;;;81,66;81,66
In_118 ;65,27;70,64;30,4;40,24;34,87;-5,37;;;;;;31,56;65,27;72,62;50,98;;;65,27;65,27
In_119 ;75,21;69,82;44,31;25,51;30,9;5,39;;;;;;61;75,21;74,92;67,7;;;75,21;75,21
In_120 ;43,39;68,12;66,59;1,53;-23,2;-24,73;;;;;;44,29;43,39;42,19;42,73;;;43,39;43,39
In_121 ;79,51;64,81;44,17;20,64;35,34;14,7;;;;;;76,23;79,51;78,8;79,54;;;79,51;79,51
In_122 ;72,35;21,54;57,33;-35,79;15,02;50,81;;;;;;72,72;72,35;33,52;72,11;;;72,35;72,35
In_123 ;65,42;64,73;63,55;1,18;1,87;0,69;;;;;;69,4;65,42;65,94;65,08;;;65,42;65,42
In_124 ;65,44;52,28;52,03;0,25;13,41;13,16;;;;;;58,84;65,44;66,56;56,15;;;65,44;65,44
In_125 ;33,19;34,49;14,38;20,11;18,81;-1,3;;;;;;0;33,19;40,18;13,05;;;33,19;33,19
In_126 ;0;32,16;7,68;24,48;-7,68;-32,16;;;;;;0;0;27,2;0;;;0;3,9
In_127 ;79,02;69,83;34,62;35,21;44,4;9,19;;;;;;70,46;79,02;0;78,2;;;79,02;79,02
In_128 ;73,95;69,22;55,62;13,6;18,33;4,73;;;;;;66,24;73,95;0;77;;;73,95;73,95
In_129 ;61,14;45,35;46,59;-1,24;14,55;15,79;;;;;;61,51;61,14;0;64,02;;;61,14;61,14
In_130 ;53,41;16,09;42,49;-26,4;10,92;37,32;;;;;;45,27;53,41;30,82;50,02;;;53,41;53,41
In_131 ;77,66;62,05;62,34;-0,29;15,32;15,61;;;;;;68,7;77,66;0;72,6;;;77,66;77,66
In_132 ;0;0;17,77;-17,77;-17,77;0;;;;;;0;0;0;0;;;0;15,3
In_133 ;70,17;30,19;58,73;-28,54;11,44;39,98;;;;;;0;70,17;0;69,06;;;70,17;70,17
In_134 ;18,77;17,22;45,99;-28,77;-27,22;1,55;;;;;;0;18,77;78,49;0;;;18,77;18,77
In_135 ;57,19;72,57;18,34;54,23;38,85;-15,38;;;;;;0;57,19;61,71;0;;;57,19;57,19
In_136 ;0;49,54;2,86;46,68;-2,86;-49,54;;;;;;0;0;60,43;0;;;0;1,37
In_137 ;50,28;69,81;2,72;67,09;47,56;-19,53;;;;;;0;50,28;66,5;0;;;50,28;50,28
In_138 ;0;0;3,78;-3,78;-3,78;0;;;;;;0;0;0;0;;;0;1,87
In_139 ;12,5;31,65;14,36;17,29;-1,86;-19,15;;;;;;0;12,5;23,43;57,4;;;12,5;12,5
In_140 ;33,77;56,92;17,16;39,76;16,61;-23,15;;;;;;0;33,77;36,94;59,39;;;33,77;33,77
In_141 ;34,08;44,53;12,9;31,63;21,18;-10,45;;;;;;0;34,08;69,39;53,92;;;34,08;34,08
In_142 ;0;31,93;5,51;26,42;-5,51;-31,93;;;;;;0;0;0;0;;;0;2,77
In_143 ;70,76;52,5;53,72;-1,22;17,04;18,26;;;;;;64,88;70,76;45,15;68;;;70,76;70,76
In_144 ;73,47;44,91;49,42;-4,51;24,05;28,56;;;;;;69,52;73,47;42,86;69,38;;;73,47;73,47
In_145 ;78,81;76,41;76;0,41;2,81;2,4;;;;;;67,67;78,81;84,51;74,64;;;78,81;78,81
In_146 ;76,48;21,42;69,13;-47,71;7,35;55,06;;;;;;72,09;76,48;81,32;76,03;;;76,48;76,48
In_147 ;76,69;21,19;68,87;-47,68;7,82;55,5;;;;;;72,35;76,69;80,24;76,17;;;76,69;76,69
In_148 ;75,33;10,85;71,14;-60,29;4,19;64,48;;;;;;66,33;75,33;74,64;77,91;;;75,33;75,33
In_149 ;44,21;63,95;14,74;49,21;29,47;-19,74;;;;;;39,42;44,21;72,76;41,02;;;44,21;44,21
In_150 ;11,26;47,66;26,3;21,36;-15,04;-36,4;;;;;;11,38;11,26;0;11,5;;;11,26;11,26
In_151 ;39,58;43,6;43,33;0,27;-3,75;-4,02;;;;;;49,68;39,58;56,33;39,84;;;39,58;39,58
In_152 ;52,76;7,59;39,01;-31,42;13,75;45,17;;;;;;6,08;52,76;56,04;6,31;;;52,76;52,76
In_153 ;51,53;0;50,78;-50,78;0,75;51,53;;;;;;75,64;51,53;63,27;72,87;;;51,53;51,53
In_154 ;59,35;16,98;35,36;-18,38;23,99;42,37;;;;;;57,22;59,35;69,47;59,06;;;59,35;59,35
In_155 ;52,3;63,88;22,23;41,65;30,07;-11,58;;;;;;0;52,3;43,68;49,97;;;52,3;52,3
In_156 ;56,53;3,88;34,23;-30,35;22,3;52,65;;;;;;48,61;56,53;60,11;50,25;;;56,53;56,53
In_157 ;26,97;56,79;15,17;41,62;11,8;-29,82;;;;;;9,27;26,97;28,22;10,3;;;26,97;26,97
In_158 ;68,79;70,94;7,33;63,61;61,46;-2,15;;;;;;0;68,79;78,78;62,34;;;68,79;68,79
In_159 ;40,84;5,86;28,3;-22,44;12,54;34,98;;;;;;9,71;40,84;0;14,09;;;40,84;40,84
In_160 ;32,35;43,83;37,09;6,74;-4,74;-11,48;;;;;;27,69;32,35;0;30,1;;;32,35;32,35
In_161 ;83,3;2,36;61,47;-59,11;21,83;80,94;;;;;;53,02;83,3;74,81;84,94;;;83,3;83,3
In_162 ;37,37;44,88;45,25;-0,37;-7,88;-7,51;;;;;;49,19;37,37;53,42;37,6;;;37,37;37,37
In_163 ;57,01;47,94;47,86;0,08;9,15;9,07;;;;;;35,81;57,01;47,95;57,01;;;57,01;57,01
In_164 ;57,31;7,89;31,26;-23,37;26,05;49,42;;;;;;57,79;57,31;70,01;56,63;;;57,31;57,31
In_165 ;77,48;9,49;65,19;-55,7;12,29;67,99;;;;;;77,71;77,48;75,51;77,76;;;77,48;77,48
In_166 ;62,94;58,81;21,63;37,18;41,31;4,13;;;;;;32,43;62,94;62,39;56,38;;;62,94;62,94
In_167 ;0;25,31;38,28;-12,97;-38,28;-25,31;;;;;;0;0;48,29;0;;;0;31,81
In_168 ;66,67;5,32;48,81;-43,49;17,86;61,35;;;;;;4,98;66,67;57,15;65,43;;;66,67;66,67
In_169 ;0;57,18;54,29;2,89;-54,29;-57,18;;;;;;42,43;0;0;0;;;0;47,74
In_170 ;72,82;73,4;71,36;2,04;1,46;-0,58;;;;;;65,47;72,82;79,77;71,65;;;72,82;72,82
In_171 ;70,99;78,05;75,02;3,03;-4,03;-7,06;;;;;;65,93;70,99;79,06;69,04;;;70,99;70,99
In_172 ;61,71;55,2;56,73;-1,53;4,98;6,51;;;;;;59,74;61,71;60,19;56,1;;;61,71;61,71
In_173 ;43,3;60,42;33,36;27,06;9,94;-17,12;;;;;;37,15;43,3;44,62;43,2;;;43,3;43,3
In_174 ;31,77;53,19;11,92;41,27;19,85;-21,42;;;;;;0;31,77;58,13;62,87;;;31,77;31,77
In_175 ;68,71;67,16;66,39;0,77;2,32;1,55;;;;;;61,06;68,71;70,12;64,29;;;68,71;68,71
In_176 ;74,17;70,19;69,36;0,83;4,81;3,98;;;;;;66,64;74,17;75,31;69,31;;;74,17;74,17
In_177 ;64,15;78,5;13,76;64,74;50,39;-14,35;;;;;;42,52;64,15;67,61;59,86;;;64,15;64,15
In_178 ;27,37;14,25;36,18;-21,93;-8,81;13,12;;;;;;35,32;27,37;52,34;33,95;;;27,37;27,37
In_179 ;25,29;45;5,33;39,67;19,96;-19,71;;;;;;25,04;25,29;0;33,25;;;25,29;25,29
In_180 ;64,06;73,08;11,2;61,88;52,86;-9,02;;;;;;43,18;64,06;75,15;60,67;;;64,06;64,06
In_181 ;62,1;17,94;25,29;-7,35;36,81;44,16;;;;;;0;62,1;0;53,93;;;62,1;62,1
In_182 ;68,07;72,27;57,91;14,36;10,16;-4,2;;;;;;0;68,07;0;61,1;;;68,07;68,07
In_183 ;0;0;32,91;-32,91;-32,91;0;;;;;;0;0;0;0;;;0;33,89
In_184 ;73,62;71,55;60,56;10,99;13,06;2,07;;;;;;57,36;73,62;0;70,73;;;73,62;73,62
In_185 ;68,14;71,53;50,98;20,55;17,16;-3,39;;;;;;54,48;68,14;0;66,25;;;68,14;68,14
